condition,epoch,h0,h12,combined,G,C,winner_relation
B,0,0.0576,0.062299999999999994,0.059949999999999996,0.005530023947358131,-9.568963050842285,2
B,1,0.09955,0.0626,0.08107500000000001,0.008726732805371284,-10.344463348388672,1
B,2,0.13845000000000002,0.061450000000000005,0.09995000000000001,0.012747464701533318,-8.437198638916016,1
B,5,0.1612,0.1151,0.13815,0.017087450250983238,-0.3865126967430115,5
B,10,0.2026,0.11705,0.159825,0.050479888916015625,-0.643109917640686,2
B,20,0.28935,0.13935,0.21434999999999998,0.16074633598327637,-0.5379012823104858,5
B,40,0.47145,0.1851,0.328275,0.42799100279808044,-0.4958527386188507,2
B,60,0.5376,0.2278,0.3827,0.5892767310142517,-0.5490814447402954,2
B,100,0.616,0.256,0.436,0.727868914604187,-0.5766574144363403,2
P,0,0.0597,0.06035,0.060025,0.00745294988155365,-9.568927764892578,2
P,1,0.1016,0.06315,0.082375,0.008722210302948952,-10.59322738647461,6
P,2,0.13874999999999998,0.0616,0.10017499999999999,0.014093473553657532,-9.582380294799805,1
P,5,0.17085,0.11904999999999999,0.14495,0.01689758710563183,-0.416107714176178,5
P,10,0.20465,0.11775000000000001,0.1612,0.024321122094988823,-0.6067546606063843,4
P,20,0.3048,0.117,0.2109,0.08633412420749664,-0.7317593097686768,5
P,40,0.45235000000000003,0.18025000000000002,0.3163,0.5240548253059387,-0.7202133536338806,5
P,60,0.5125,0.19090000000000001,0.3517,0.6745299696922302,-0.7875211238861084,5
P,100,0.59865,0.19865,0.39865,0.7789989709854126,-0.7537049651145935,5
D,0,0.0599,0.06025,0.060075,0.010106532834470272,-9.567804336547852,6
D,1,0.10020000000000001,0.0611,0.08065,0.009868084453046322,-10.843606948852539,3
D,2,0.13025,0.06105,0.09565,0.018156470730900764,-9.344465255737305,3
D,5,0.1674,0.11275,0.140075,0.012272604741156101,-0.44882041215896606,3
D,10,0.20555,0.1156,0.160575,0.04001482203602791,-0.6345552206039429,2
D,20,0.28465,0.1329,0.208775,0.08290380984544754,-0.6092634201049805,2
D,40,0.46104999999999996,0.1663,0.313675,0.41213318705558777,-0.4437037706375122,0
D,60,0.5218,0.20105,0.361425,0.5298680663108826,-0.4161159098148346,0
D,100,0.60015,0.23545,0.41779999999999995,0.6891903281211853,-0.45916593074798584,0
O,0,0.0576,0.062299999999999994,0.059949999999999996,0.005530023947358131,-9.568963050842285,2
O,1,0.09825,0.0616,0.079925,0.013230605982244015,-10.247770309448242,6
O,2,0.1384,0.061900000000000004,0.10015,0.01588682271540165,-8.962196350097656,6
O,5,0.1683,0.11599999999999999,0.14215,0.011967984028160572,-0.45017606019973755,4
O,10,0.2041,0.1229,0.1635,0.03068751096725464,-0.5333418846130371,2
O,20,0.28190000000000004,0.1362,0.20905,0.13004028797149658,-0.5001233816146851,5
O,40,0.4689,0.15955,0.314225,0.32975390553474426,-0.4873015880584717,2
O,60,0.5351,0.1962,0.36565000000000003,0.49202078580856323,-0.4542118012905121,2
O,100,0.6446999999999999,0.2224,0.43355,0.6513500809669495,-0.49437645077705383,2
