condition,epoch,h0,h12,combined,G,winner,synergy_winner,gradient_winner
B,0,0.05905,0.0625,0.060774999999999996,0.012830770574510098,5,0,6
B,1,0.09555,0.06025,0.0779,0.006779746152460575,1,7,3
B,2,0.132,0.08485000000000001,0.10842500000000001,0.03187258914113045,2,7,1
B,5,0.16765,0.0891,0.128375,0.021702418103814125,7,5,4
B,10,0.20295,0.08705,0.145,0.025478020310401917,2,0,2
B,15,0.218,0.09204999999999999,0.155025,0.09303899854421616,3,1,2
B,20,0.26425,0.09285,0.17855,0.2238089144229889,2,2,6
B,25,0.3115,0.09385,0.202675,0.3073585629463196,2,2,7
B,30,0.37015,0.0969,0.23352499999999998,0.3338176906108856,2,2,3
B,35,0.42114999999999997,0.1225,0.271825,0.3228246867656708,2,2,3
B,40,0.4526,0.1375,0.29505000000000003,0.37529727816581726,3,3,2
B,45,0.47015,0.14650000000000002,0.308325,0.4440510869026184,3,3,3
B,50,0.48819999999999997,0.15050000000000002,0.31935,0.49081626534461975,3,3,3
B,60,0.52405,0.17054999999999998,0.3473,0.5847508907318115,3,2,3
B,80,0.58445,0.19105,0.38775000000000004,0.703389585018158,3,2,3
B,100,0.62955,0.21695,0.42325,0.7851137518882751,3,2,3
O,0,0.05905,0.0625,0.060774999999999996,0.012830770574510098,5,0,6
O,1,0.09434999999999999,0.06155,0.07794999999999999,0.004092657472938299,7,7,7
O,2,0.1341,0.08800000000000001,0.11105000000000001,0.03249320760369301,1,1,5
O,5,0.1699,0.08995,0.129925,0.02223396487534046,0,0,4
O,10,0.20325,0.09085,0.14705,0.029873577877879143,0,0,4
O,15,0.22315000000000002,0.0948,0.158975,0.07769319415092468,7,4,4
O,20,0.2798,0.09555,0.18767499999999998,0.15974469482898712,4,4,2
O,25,0.3374,0.09405,0.215725,0.22294960916042328,2,4,2
O,30,0.3849,0.09895,0.241925,0.2477496862411499,2,2,4
O,35,0.41669999999999996,0.11595,0.266325,0.2022264450788498,0,0,5
O,40,0.44930000000000003,0.13275,0.29102500000000003,0.38725292682647705,0,0,0
O,45,0.46714999999999995,0.13715,0.30215,0.4883281886577606,0,0,0
O,50,0.47805,0.1462,0.312125,0.5410661101341248,0,0,0
O,60,0.50375,0.1641,0.333925,0.6448203921318054,0,0,0
O,80,0.5439,0.20095000000000002,0.372425,0.7296092510223389,0,0,0
O,100,0.59615,0.22060000000000002,0.408375,0.7820957899093628,0,0,3
