condition,epoch,h0,h12,combined,G,C,winner_relation
B,0,0.06709999999999999,0.061,0.06405,0.012879676185548306,-7.272468090057373,4
B,1,0.10625000000000001,0.0645,0.085375,0.012862023897469044,-2.699603796005249,6
B,2,0.14875,0.0858,0.11727499999999999,0.021593037992715836,-0.9684440493583679,5
B,5,0.17354999999999998,0.09,0.13177499999999998,0.023276174440979958,-1.1488690376281738,4
B,10,0.19129999999999997,0.09090000000000001,0.1411,0.04577626660466194,-1.3465847969055176,5
B,20,0.26735,0.09390000000000001,0.18062499999999998,0.24335530400276184,-1.5754585266113281,5
B,40,0.4265,0.1501,0.2883,0.7092150449752808,-1.2848901748657227,5
B,60,0.48915000000000003,0.16025,0.3247,0.7657340168952942,-1.2905534505844116,5
B,100,0.5898,0.18055,0.385175,0.8929001092910767,-1.4909348487854004,5
P,0,0.062400000000000004,0.06425,0.063325,0.014325655065476894,-7.271792411804199,0
P,1,0.0954,0.0693,0.08235,0.012637252919375896,-1.9517064094543457,6
P,2,0.15275,0.0879,0.120325,0.018532222136855125,-0.9276981949806213,4
P,5,0.1696,0.09025,0.129925,0.02587629109621048,-1.1156096458435059,6
P,10,0.19590000000000002,0.08865,0.142275,0.039289530366659164,-1.4159367084503174,4
P,20,0.2446,0.09290000000000001,0.16875,0.10487730801105499,-1.7342371940612793,5
P,40,0.41855000000000003,0.11814999999999999,0.26835000000000003,0.14833076298236847,-0.9267206192016602,0
P,60,0.5076499999999999,0.14235,0.32499999999999996,0.5420519709587097,-0.5432695150375366,3
P,100,0.63155,0.16655,0.39904999999999996,0.8406041264533997,-0.6804711222648621,3
D,0,0.06525,0.0643,0.064775,0.02008271962404251,-7.276884078979492,4
D,1,0.1073,0.06675,0.087025,0.01041076984256506,-0.9360338449478149,4
D,2,0.14115,0.0874,0.114275,0.017139596864581108,-0.8578780889511108,3
D,5,0.17320000000000002,0.0902,0.1317,0.02679743990302086,-1.143654465675354,3
D,10,0.1937,0.0933,0.14350000000000002,0.03481769189238548,-1.470983862876892,5
D,20,0.2494,0.09659999999999999,0.173,0.1935814470052719,-1.5558909177780151,5
D,40,0.41095000000000004,0.14315,0.27705,0.4802621006965637,-0.7420254349708557,5
D,60,0.4982,0.15455000000000002,0.32637499999999997,0.5758817195892334,-0.7160341739654541,5
D,100,0.6125499999999999,0.1931,0.402825,0.7732547521591187,-0.7180762887001038,5
O,0,0.06709999999999999,0.061,0.06405,0.012879676185548306,-7.272468090057373,4
O,1,0.10155,0.07405,0.0878,0.013606495223939419,-0.9725856184959412,6
O,2,0.15225,0.0835,0.11787500000000001,0.01935499906539917,-0.998493492603302,4
O,5,0.17525,0.09015,0.13269999999999998,0.024743948131799698,-1.2000283002853394,3
O,10,0.1969,0.09255,0.144725,0.026752684265375137,-1.4026548862457275,5
O,20,0.26215,0.09455,0.17835,0.1580120325088501,-1.5257147550582886,5
O,40,0.41705000000000003,0.14250000000000002,0.279775,0.5663231015205383,-0.7817055583000183,5
O,60,0.49315,0.17605,0.3346,0.7195919156074524,-0.7838556170463562,5
O,100,0.58165,0.2231,0.402375,0.8944413661956787,-0.8570533394813538,5
