condition,epoch,h0,h12,combined,G,C,winner_relation
B,0,0.060899999999999996,0.0621,0.0615,0.01794789545238018,-10.131278038024902,5
B,1,0.11205000000000001,0.06275,0.0874,0.003746975213289261,-8.67365837097168,0
B,2,0.14379999999999998,0.09895000000000001,0.121375,0.01574099436402321,-0.6330435872077942,0
B,5,0.18414999999999998,0.1202,0.152175,0.01261269859969616,-0.5495011210441589,7
B,10,0.19419999999999998,0.12325,0.158725,0.012253792956471443,-0.558092474937439,2
B,20,0.25585,0.1217,0.18877500000000003,0.04273615777492523,-0.8786690831184387,2
B,40,0.41005,0.133,0.271525,0.3380378782749176,-0.8101604580879211,7
B,60,0.4719,0.17585,0.323875,0.6994369029998779,-0.797245979309082,7
B,100,0.60205,0.21150000000000002,0.406775,0.8100332617759705,-0.7151974439620972,7
P,0,0.0643,0.06420000000000001,0.06425,0.0195218026638031,-10.131124496459961,5
P,1,0.1018,0.0635,0.08265,0.005681279115378857,-9.802886962890625,1
P,2,0.1442,0.0624,0.1033,0.013537975028157234,-10.087865829467773,1
P,5,0.18545,0.1169,0.151175,0.018404552713036537,-0.48820018768310547,5
P,10,0.1898,0.12025,0.155025,0.02224370278418064,-0.5293835401535034,5
P,20,0.24725,0.12254999999999999,0.1849,0.07922198623418808,-0.7572318315505981,5
P,40,0.42415,0.15305,0.2886,0.30083999037742615,-0.576607882976532,4
P,60,0.4887,0.1782,0.33345,0.4603334367275238,-0.38257014751434326,4
P,100,0.628,0.21635,0.42217499999999997,0.7193000316619873,-0.4747260510921478,4
D,0,0.05815000000000001,0.0628,0.060475,0.012802362442016602,-10.128097534179688,3
D,1,0.11044999999999999,0.06359999999999999,0.08702499999999999,0.005539516918361187,-9.500531196594238,2
D,2,0.14850000000000002,0.062400000000000004,0.10545000000000002,0.01428272295743227,-5.871603488922119,6
D,5,0.18165,0.1189,0.150275,0.011680415831506252,-0.4423222541809082,2
D,10,0.18895,0.12104999999999999,0.155,0.014725872315466404,-0.49173760414123535,3
D,20,0.25465000000000004,0.1377,0.19617500000000002,0.03968307375907898,-0.49956274032592773,0
D,40,0.4294,0.16395,0.296675,0.34983041882514954,-0.5485458374023438,7
D,60,0.49415,0.2052,0.34967499999999996,0.4870315194129944,-0.5303446650505066,7
D,100,0.6282,0.2127,0.42045,0.6006405353546143,-0.4648635983467102,7
O,0,0.060899999999999996,0.0621,0.0615,0.01794789545238018,-10.131278038024902,5
O,1,0.11095000000000001,0.0635,0.087225,0.008649885654449463,-9.308959007263184,1
O,2,0.15084999999999998,0.08810000000000001,0.119475,0.009347446262836456,-0.7639552354812622,3
O,5,0.1768,0.1197,0.14825,0.013022376224398613,-0.4912185072898865,7
O,10,0.1863,0.11955,0.152925,0.025063738226890564,-0.4923589825630188,7
O,20,0.2528,0.1243,0.18855,0.06169731914997101,-0.8910571336746216,2
O,40,0.41435,0.12450000000000001,0.269425,0.3653162121772766,-0.8849784135818481,7
O,60,0.47120000000000006,0.1613,0.31625000000000003,0.6848506331443787,-0.7836628556251526,7
O,100,0.5608,0.2133,0.38705,0.8129087090492249,-0.7114806175231934,7
