condition,epoch,h0,h12,combined,G,C,winner_relation
B,0,0.0592,0.061099999999999995,0.060149999999999995,0.012630785815417767,-10.179685592651367,7
B,1,0.0881,0.059550000000000006,0.073825,0.007565705105662346,-10.838746070861816,2
B,2,0.13379999999999997,0.06185,0.097825,0.017315682023763657,-9.589916229248047,4
B,5,0.16399999999999998,0.10844999999999999,0.13622499999999998,0.005245452746748924,-0.4089386463165283,5
B,10,0.18035,0.11560000000000001,0.14797500000000002,0.015583556145429611,-0.46347111463546753,5
B,20,0.28805000000000003,0.13695000000000002,0.21250000000000002,0.06311187893152237,-0.666357159614563,1
B,40,0.4467,0.13865,0.292675,0.12995444238185883,-0.6054831743240356,4
B,60,0.5228999999999999,0.1734,0.34814999999999996,0.6002274751663208,-0.4828164279460907,5
B,100,0.66045,0.21194999999999997,0.4362,0.7348206639289856,-0.47474610805511475,4
P,0,0.056999999999999995,0.061149999999999996,0.059074999999999996,0.01563078723847866,-10.179468154907227,4
P,1,0.0978,0.0655,0.08165,0.01206886861473322,-10.610057830810547,3
P,2,0.13240000000000002,0.05995,0.09617500000000001,0.014513866044580936,-9.039060592651367,4
P,5,0.1664,0.1222,0.14429999999999998,0.008350948803126812,-0.46827101707458496,7
P,10,0.1857,0.1238,0.15475,0.027891574427485466,-0.5363422632217407,0
P,20,0.28069999999999995,0.138,0.20934999999999998,0.05892624706029892,-0.6274559497833252,1
P,40,0.4414,0.18305,0.312225,0.38369038701057434,-0.4910470247268677,1
P,60,0.5021,0.2043,0.3532,0.4704754948616028,-0.4333137273788452,1
P,100,0.6306,0.21194999999999997,0.421275,0.5908436179161072,-0.4405570924282074,1
D,0,0.0621,0.062150000000000004,0.062125,0.017279785126447678,-10.184225082397461,1
D,1,0.095,0.0638,0.0794,0.009720556437969208,-11.072463035583496,0
D,2,0.13435000000000002,0.060200000000000004,0.09727500000000001,0.01416206918656826,-9.38140869140625,1
D,5,0.16570000000000001,0.1184,0.14205,0.00944065023213625,-0.4702398478984833,5
D,10,0.1778,0.11725000000000001,0.14752500000000002,0.017276806756854057,-0.4178261160850525,5
D,20,0.28215,0.1382,0.210175,0.10955550521612167,-0.574662446975708,6
D,40,0.44110000000000005,0.15495,0.29802500000000004,0.3362455368041992,-0.47643011808395386,6
D,60,0.5086999999999999,0.16525,0.33697499999999997,0.5554043650627136,-0.4219732880592346,6
D,100,0.6665,0.1973,0.4319,0.7505491375923157,-0.434023380279541,6
O,0,0.0592,0.061099999999999995,0.060149999999999995,0.012630785815417767,-10.179685592651367,7
O,1,0.09025,0.06025,0.07525,0.004707065410912037,-10.640181541442871,3
O,2,0.13179999999999997,0.06155,0.09667499999999998,0.00949995219707489,-5.605976104736328,4
O,5,0.16215000000000002,0.121,0.141575,0.009053611196577549,-0.3552277386188507,0
O,10,0.18059999999999998,0.12014999999999999,0.15037499999999998,0.015478500165045261,-0.4971088767051697,2
O,20,0.26395,0.11424999999999999,0.1891,0.12568973004817963,-0.8544658422470093,1
O,40,0.45665,0.13425,0.29545,0.5856401920318604,-0.8645960688591003,6
O,60,0.52315,0.16765,0.3454,0.7671142220497131,-0.7930623292922974,6
O,100,0.6172000000000001,0.2086,0.41290000000000004,0.8693562746047974,-0.7142496109008789,6
