condition,epoch,h0,h12,combined,G,winner,synergy_winner,gradient_winner
B,0,0.06475,0.06315,0.06395,0.013336841017007828,7,0,2
B,1,0.09475,0.063,0.078875,0.0035091035533696413,3,5,0
B,2,0.12995,0.0628,0.096375,0.008727251552045345,2,5,0
B,5,0.1698,0.1179,0.14385,0.013484733179211617,2,6,4
B,10,0.1999,0.11785000000000001,0.158875,0.014556614682078362,0,4,1
B,15,0.2288,0.1189,0.17385,0.031254906207323074,3,7,3
B,20,0.25915,0.12004999999999999,0.1896,0.06492194533348083,7,7,0
B,25,0.3176,0.11750000000000001,0.21755,0.1227385625243187,7,7,6
B,30,0.36125,0.11795,0.2396,0.15953214466571808,7,7,6
B,35,0.39805,0.11955,0.25880000000000003,0.2325335144996643,0,0,0
B,40,0.43679999999999997,0.1271,0.28195,0.39879924058914185,0,0,0
B,45,0.46055,0.1318,0.296175,0.5045567154884338,0,0,0
B,50,0.47805,0.14705000000000001,0.31255,0.5583562254905701,0,0,4
B,60,0.5164,0.17170000000000002,0.34404999999999997,0.6549565196037292,0,0,0
B,80,0.5799,0.1955,0.3877,0.7487610578536987,0,0,0
B,100,0.62365,0.2136,0.418625,0.7938609719276428,0,0,0
O,0,0.06475,0.06315,0.06395,0.013336841017007828,7,0,2
O,1,0.09545000000000001,0.06125,0.07835,0.00363269099034369,4,3,0
O,2,0.1305,0.06224999999999999,0.096375,0.012364177033305168,6,6,3
O,5,0.1704,0.1175,0.14395,0.007416145876049995,2,6,5
O,10,0.1928,0.11775,0.155275,0.019765760749578476,5,7,5
O,15,0.2207,0.11745,0.169075,0.05222960561513901,5,5,5
O,20,0.2504,0.11745,0.183925,0.1250874400138855,5,5,0
O,25,0.31155,0.11825,0.21489999999999998,0.21452108025550842,5,5,7
O,30,0.35595,0.11745,0.2367,0.26607808470726013,5,5,6
O,35,0.395,0.12065,0.257825,0.3430509865283966,5,5,5
O,40,0.42974999999999997,0.1305,0.28012499999999996,0.4293971061706543,5,5,5
O,45,0.45185,0.1424,0.297125,0.5137048959732056,5,5,5
O,50,0.4687,0.1527,0.3107,0.5593029260635376,5,5,5
O,60,0.5041500000000001,0.16715,0.33565000000000006,0.5960718989372253,5,5,7
O,80,0.58765,0.17759999999999998,0.382625,0.6427634358406067,5,5,5
O,100,0.6704,0.18405,0.42722499999999997,0.7089778780937195,5,5,5
