index,Condition,mean,std
0,mean_probe_direction,0.502916673819224,0.0117315856151256
1,native,0.6466666658719381,0.0181178239477927
2,shuffle_probe_directions,0.5129166742165884,0.0285066853711063
3,wrong_query_for_probe,0.5693749984105428,0.0321556277479017
