index,Model,mean,std,min,max,params
0,blind,0.6214583516120911,0.0128289913639259,0.6106250286102295,0.6356250047683716,3109
1,direct,0.6239583293596903,0.0115639043290443,0.612500011920929,0.6356250047683716,1972
2,query,0.6466666658719381,0.0181178239477927,0.6318749785423279,0.6668750047683716,3365
