condition,epoch,h0,h12,combined,G,C,winner_relation
J,0,0.0618,0.06105,0.061425,0.02822442352771759,-7.933361053466797,5
J,2,0.12415000000000001,0.0634,0.093775,0.005959039553999901,-9.679966926574707,6
J,10,0.19545,0.11904999999999999,0.15725,0.018435223028063774,-0.6695832014083862,7
J,20,0.2443,0.11895,0.18162499999999998,0.08333329856395721,-0.868047833442688,3
J,40,0.44884999999999997,0.1434,0.29612499999999997,0.3992481529712677,-0.5984428524971008,5
J,60,0.51225,0.1866,0.349425,0.6245753765106201,-0.7366291284561157,5
J,100,0.62805,0.2069,0.417475,0.9403773546218872,-1.0526686906814575,5
H0,0,0.0618,0.06105,0.061425,0.02822442352771759,-7.933361053466797,5
H0,2,0.12425,0.0621,0.09317500000000001,0.028281349688768387,-8.169114112854004,3
H0,10,0.1979,0.060649999999999996,0.129275,0.0329585075378418,-7.859560012817383,0
H0,20,0.28445,0.05985,0.17215,0.07762911915779114,-7.783565521240234,4
H0,40,0.45745,0.0611,0.25927500000000003,0.23346300423145294,-7.549796104431152,0
H0,60,0.5266500000000001,0.06135,0.29400000000000004,0.2626246511936188,-7.608677387237549,3
H0,100,0.6627500000000001,0.0628,0.362775,0.28569525480270386,-7.598730087280273,2
HT,0,0.0618,0.06105,0.061425,0.02822442352771759,-7.933361053466797,5
HT,2,0.05960000000000001,0.0877,0.07365000000000001,0.023662090301513672,0.40635961294174194,7
HT,10,0.06065,0.092,0.076325,0.0042201196774840355,1.342178225517273,0
HT,20,0.06135,0.09995,0.08065,0.0207681804895401,1.057966947555542,7
HT,40,0.06,0.14745,0.103725,0.07974373549222946,0.6191052198410034,7
HT,60,0.06415,0.1507,0.10742499999999999,0.0586053766310215,0.3387508690357208,2
HT,100,0.0648,0.17154999999999998,0.11817499999999999,0.06735572218894958,0.44805729389190674,7
FF,0,0.0618,0.06105,0.061425,0.02822442352771759,-7.933361053466797,5
FF,2,0.12430000000000001,0.0643,0.0943,0.027641331776976585,-8.15528678894043,3
FF,10,0.1981,0.07035,0.13422499999999998,0.0332450307905674,-7.80333137512207,0
FF,20,0.2833,0.07145,0.177375,0.09558643400669098,-7.599915504455566,4
FF,40,0.45625,0.07350000000000001,0.26487499999999997,0.264072060585022,-7.418893814086914,0
FF,60,0.5244,0.07695,0.30067499999999997,0.29608893394470215,-7.4160990715026855,0
FF,100,0.6551,0.0821,0.36860000000000004,0.3067050874233246,-7.299527168273926,2
EF,0,0.0618,0.06105,0.061425,0.02822442352771759,-7.933361053466797,5
EF,2,0.07700000000000001,0.0634,0.07020000000000001,0.004632804077118635,-9.89863395690918,5
EF,10,0.09485,0.063,0.078925,0.016034424304962158,-8.538047790527344,7
EF,20,0.11445,0.0643,0.089375,0.014976627193391323,-7.834577560424805,6
EF,40,0.13069999999999998,0.10775,0.119225,0.006988064851611853,4.1612043380737305,2
EF,60,0.1346,0.13340000000000002,0.134,0.01748640649020672,4.434226036071777,6
EF,100,0.14205,0.13240000000000002,0.137225,0.017173776403069496,4.399371147155762,6
