condition,epoch,h0,h12,combined,G,winner,synergy_winner,gradient_winner
B,0,0.06425,0.062,0.063125,0.0197449978441,1,0,5
B,1,0.09334999999999999,0.06375,0.07855,0.024953210726380348,5,3,4
B,2,0.13124999999999998,0.08625,0.10874999999999999,0.033635616302490234,3,3,1
B,5,0.15675,0.0907,0.123725,0.031118666753172874,3,0,1
B,10,0.19030000000000002,0.1166,0.15345,0.0320701040327549,1,3,4
B,15,0.23195,0.11470000000000001,0.173325,0.0915670394897461,3,3,2
B,20,0.2806,0.11215,0.19637500000000002,0.15323510766029358,4,4,1
B,25,0.33665,0.1145,0.225575,0.1986759752035141,4,4,2
B,30,0.3909,0.13425,0.262575,0.1622258722782135,4,4,0
B,35,0.4318000000000001,0.13929999999999998,0.28555,0.16504885256290436,4,4,5
B,40,0.46185,0.13999999999999999,0.300925,0.19523712992668152,4,4,5
B,45,0.48475,0.14500000000000002,0.314875,0.24530792236328125,5,5,4
B,50,0.50495,0.15685,0.33089999999999997,0.3009738624095917,5,5,5
B,60,0.54715,0.19090000000000001,0.36902500000000005,0.4828585982322693,5,5,2
B,80,0.6188,0.21475000000000002,0.416775,0.616064190864563,5,5,5
B,100,0.6687000000000001,0.22725,0.447975,0.719538688659668,5,5,5
O,0,0.06425,0.062,0.063125,0.0197449978441,1,0,5
O,1,0.09295,0.06025,0.0766,0.017490368336439133,5,3,4
O,2,0.13365,0.07845,0.10605,0.018424488604068756,3,3,7
O,5,0.16210000000000002,0.08879999999999999,0.12545,0.02425617165863514,3,0,4
O,10,0.1966,0.09075,0.143675,0.04242905229330063,1,3,4
O,15,0.2351,0.08865,0.161875,0.14036446809768677,3,4,3
O,20,0.2923,0.11465,0.20347500000000002,0.1474761664867401,4,4,3
O,25,0.33199999999999996,0.12714999999999999,0.22957499999999997,0.12896685302257538,4,4,3
O,30,0.38685,0.1289,0.257875,0.10367276519536972,4,4,5
O,35,0.42565,0.14105,0.28335,0.2137794941663742,5,5,7
O,40,0.45545,0.1467,0.301075,0.33019277453422546,5,5,5
O,45,0.47725,0.15339999999999998,0.31532499999999997,0.3380705416202545,5,5,5
O,50,0.49774999999999997,0.16125,0.3295,0.40872469544410706,5,5,5
O,60,0.5379499999999999,0.18280000000000002,0.360375,0.4998135566711426,5,5,4
O,80,0.6168,0.22025000000000003,0.41852500000000004,0.6796746253967285,5,5,1
O,100,0.6755,0.24414999999999998,0.459825,0.7566249370574951,5,5,5
