epoch,val_h0,val_h12,C_terminal_mean_log_survival,G_terminal_relation_selectivity,reversal_fraction_overall,path_efficiency_mean,ridge_h0,ridge_h12,ridge_first_direction,ridge_final_direction,ridge_integrated_direction
0,0.06225,0.0571,-7.1788201332092285,0.024535752832889557,0.4334181818181818,0.5454832911491394,0.178775,0.064375,0.17415,0.145775,0.163
1,0.09634999999999999,0.06335,-9.494529724121094,0.010054197162389755,0.9402909090909091,0.37245509028434753,0.15975,0.08295,0.146275,0.123675,0.130575
2,0.1225,0.06505,-10.295404434204102,0.007838018238544464,0.909309090909091,0.4211978614330292,0.163775,0.075225,0.149775,0.12915,0.134975
5,0.16405,0.08965000000000001,-1.0410897731781006,0.01606137491762638,0.9945454545454545,0.1567191779613495,0.18285,0.09995,0.178925,0.093,0.177475
10,0.20485,0.09095,-1.2932769060134888,0.04149589687585831,0.9953818181818181,0.1517743617296219,0.21115,0.105025,0.206325,0.0946,0.205175
20,0.2774,0.0905,-1.3662867546081543,0.07764832675457001,0.9915818181818182,0.1676948368549347,0.30735,0.1142,0.291425,0.1031,0.2764
40,0.4528,0.1268,-0.5508419871330261,0.43531057238578796,0.9589090909090909,0.16893401741981506,0.434825,0.1327,0.386875,0.125575,0.33465
60,0.524,0.1658,-0.5836579203605652,0.6567925810813904,0.9516545454545454,0.1408243626356125,0.465725,0.15345,0.39945,0.141375,0.31425
80,0.5818,0.17545,-0.55428147315979,0.7419564127922058,0.9477272727272728,0.13072365522384644,0.4808,0.162775,0.397875,0.1522,0.30005
100,0.6218,0.1992,-0.5765066742897034,0.8112367987632751,0.9451454545454545,0.12282297015190125,0.48275,0.175975,0.397425,0.159725,0.297475
