condition,epoch,h0,h12,combined,G,winner,synergy_winner,gradient_winner
B,0,0.06075,0.06225,0.0615,0.013399135321378708,5,0,2
B,1,0.094,0.0668,0.0804,0.012620192021131516,6,6,6
B,2,0.12680000000000002,0.062,0.09440000000000001,0.0162762850522995,3,3,4
B,5,0.1752,0.0907,0.13295,0.01807326078414917,6,6,4
B,10,0.1879,0.08945,0.138675,0.013469776138663292,5,0,1
B,15,0.2133,0.09075,0.152025,0.019837452098727226,6,0,2
B,20,0.28305,0.09015000000000001,0.18660000000000002,0.06305067241191864,6,6,4
B,25,0.33365,0.09245,0.21305000000000002,0.16882126033306122,4,4,7
B,30,0.38065000000000004,0.11384999999999999,0.24725000000000003,0.3870491087436676,4,4,4
B,35,0.42269999999999996,0.13529999999999998,0.27899999999999997,0.4687268137931824,4,4,4
B,40,0.45235000000000003,0.15699999999999997,0.30467500000000003,0.5073317885398865,4,4,4
B,45,0.46740000000000004,0.17895,0.323175,0.5046500563621521,4,4,4
B,50,0.481,0.19369999999999998,0.33735,0.49485671520233154,4,4,4
B,60,0.5036,0.2056,0.3546,0.4842883050441742,4,4,4
B,80,0.548,0.22399999999999998,0.386,0.5046730041503906,4,4,4
B,100,0.61505,0.23325,0.42415,0.6309601068496704,4,4,4
O,0,0.06075,0.06225,0.0615,0.013399135321378708,5,0,2
O,1,0.09215,0.06584999999999999,0.07899999999999999,0.0063733505085110664,0,0,7
O,2,0.1274,0.061149999999999996,0.094275,0.01788548193871975,0,7,7
O,5,0.16875,0.09029999999999999,0.129525,0.017903964966535568,4,4,5
O,10,0.1936,0.09090000000000001,0.14225,0.019301872700452805,7,7,0
O,15,0.21744999999999998,0.09,0.153725,0.07554944604635239,4,4,4
O,20,0.29695,0.09275,0.19485,0.3188936114311218,4,4,4
O,25,0.3388,0.1087,0.22375,0.46823203563690186,4,4,4
O,30,0.3742,0.1464,0.2603,0.48665833473205566,4,4,4
O,35,0.40704999999999997,0.1714,0.28922499999999995,0.48145464062690735,4,4,4
O,40,0.4325,0.17745,0.304975,0.5122801065444946,4,4,4
O,45,0.45335000000000003,0.18065,0.317,0.5360473990440369,4,4,4
O,50,0.46725000000000005,0.18259999999999998,0.324925,0.550685703754425,4,4,4
O,60,0.4943,0.18574999999999997,0.340025,0.5922166109085083,4,4,4
O,80,0.5610999999999999,0.19090000000000001,0.376,0.6432135105133057,4,4,0
O,100,0.6048,0.1972,0.401,0.6943736672401428,4,4,4
