condition,epoch,h0,h12,combined,G,C,winner_relation
B,0,0.06595000000000001,0.0597,0.062825,0.024095289409160614,-9.599199295043945,3
B,1,0.09915,0.06225,0.0807,0.026692213490605354,-10.81070327758789,4
B,2,0.15475,0.0641,0.109425,0.02025396190583706,-8.892317771911621,2
B,5,0.16915,0.0925,0.130825,0.025253156200051308,-1.2223381996154785,4
B,10,0.1978,0.09225,0.14502500000000002,0.0961446538567543,-1.3964459896087646,4
B,20,0.27105,0.09395,0.1825,0.19352635741233826,-1.6365246772766113,3
B,40,0.43305000000000005,0.10880000000000001,0.270925,0.31097277998924255,-0.9741079807281494,4
B,60,0.49415000000000003,0.14105,0.3176,0.6082144975662231,-0.8018251657485962,2
B,100,0.60535,0.16945,0.3874,0.7538742423057556,-0.7731509804725647,2
P,0,0.06145,0.0606,0.061024999999999996,0.02404445968568325,-9.599382400512695,3
P,1,0.0926,0.0597,0.07615,0.01444315817207098,-10.260790824890137,2
P,2,0.14875,0.0696,0.109175,0.02544494904577732,-2.6516361236572266,2
P,5,0.17109999999999997,0.09295,0.132025,0.02894158475100994,-1.1594641208648682,2
P,10,0.19475,0.093,0.143875,0.05648577958345413,-1.2879148721694946,2
P,20,0.25544999999999995,0.09365,0.17454999999999998,0.14213280379772186,-1.5230449438095093,2
P,40,0.43839999999999996,0.1387,0.28855,0.5093821883201599,-0.8652274012565613,7
P,60,0.49985,0.17705,0.33845000000000003,0.6176326870918274,-0.7127794027328491,7
P,100,0.6012,0.19485,0.39802499999999996,0.7010329961776733,-0.675349771976471,7
D,0,0.06725,0.06015,0.0637,0.017143506556749344,-9.605000495910645,2
D,1,0.1074,0.0592,0.0833,0.011374879628419876,-10.272135734558105,6
D,2,0.14945,0.060450000000000004,0.10495,0.026285739615559578,-8.432435035705566,6
D,5,0.16805,0.09005,0.12905,0.01425938867032528,-1.2905184030532837,4
D,10,0.18595,0.0907,0.138325,0.031272049993276596,-1.2548589706420898,2
D,20,0.27645,0.09365000000000001,0.18505,0.082622230052948,-1.4535949230194092,6
D,40,0.43105,0.1341,0.282575,0.7027884125709534,-1.5584042072296143,2
D,60,0.50675,0.16285,0.3348,0.8289005160331726,-1.91968834400177,2
D,100,0.6195499999999999,0.17215000000000003,0.39585,1.0056008100509644,-2.1245617866516113,2
O,0,0.06595000000000001,0.0597,0.062825,0.024095289409160614,-9.599199295043945,3
O,1,0.1038,0.063,0.0834,0.02087821066379547,-10.669708251953125,4
O,2,0.151,0.06215,0.106575,0.021279407665133476,-7.947242736816406,7
O,5,0.17015,0.09104999999999999,0.1306,0.030084174126386642,-1.1579437255859375,4
O,10,0.19815,0.09394999999999999,0.14604999999999999,0.08866943418979645,-1.3840230703353882,4
O,20,0.27270000000000005,0.0968,0.18475000000000003,0.1981070339679718,-1.577927827835083,4
O,40,0.42285,0.117,0.269925,0.4312525987625122,-0.9099700450897217,5
O,60,0.49305,0.1424,0.317725,0.3885323107242584,-0.6427925825119019,5
O,100,0.6608499999999999,0.22344999999999998,0.44214999999999993,0.6367571949958801,-0.5318033695220947,5
