seed,competence_gate_pass,epoch100_h12_validation_accuracy,C0_initial_terminal_mean_log_survival,G0_initial_relation_selectivity,G100_final_relation_selectivity,delta_G,delta_G_ci_low,delta_G_ci_high,selective_preservation_seed_criterion_pass,early_establishment_spearman_t2_vs_t12
13,False,0.19735,-6.768089294433594,0.0180722214281559,0.8280121684074402,0.8099399469792843,0.7908407715327028,0.8181161171115451,True,0.9761904761904763
29,False,0.1992,-7.1788201332092285,0.024535752832889557,0.8112367987632751,0.7867010459303856,0.7589687939195102,0.7966420544006351,True,0.9285714285714287
53,False,0.18544999999999998,-7.398865699768066,0.0164203904569149,0.6178671717643738,0.6014467813074589,0.5807996919694046,0.6070840913374252,True,0.9047619047619048
