condition,epoch,h0,h12,combined,G,C,winner_relation
B,0,0.0605,0.06525,0.062875,0.014807850122451782,-9.254505157470703,4
B,1,0.09265,0.0611,0.076875,0.008403030224144459,-6.841375350952148,5
B,2,0.13379999999999997,0.0865,0.11014999999999998,0.020473133772611618,-0.7850185632705688,5
B,5,0.1654,0.0876,0.1265,0.021688321605324745,-1.0500625371932983,7
B,10,0.19625,0.0949,0.145575,0.016133975237607956,-1.226660966873169,5
B,20,0.26455,0.0917,0.178125,0.13480664789676666,-1.5650391578674316,0
B,40,0.42765,0.148,0.287825,0.46825358271598816,-0.6389870047569275,0
B,60,0.49045000000000005,0.1779,0.334175,0.6046913266181946,-0.6125055551528931,0
B,100,0.6073500000000001,0.2137,0.41052500000000003,0.7941148281097412,-0.6554929614067078,0
P,0,0.064,0.061700000000000005,0.06285,0.012388404458761215,-9.254549980163574,4
P,1,0.09475,0.061399999999999996,0.078075,0.007798800244927406,-8.707972526550293,6
P,2,0.13845,0.0854,0.111925,0.022486042231321335,-0.998070478439331,5
P,5,0.16535,0.08854999999999999,0.12695,0.02082490734755993,-1.1456518173217773,6
P,10,0.20190000000000002,0.08965000000000001,0.14577500000000002,0.029893968254327774,-1.3179579973220825,7
P,20,0.2643,0.09355000000000001,0.178925,0.1945446878671646,-1.553389072418213,2
P,40,0.4386,0.1483,0.29345,0.34938380122184753,-0.5374193787574768,6
P,60,0.5303,0.20605,0.36817500000000003,0.5990211367607117,-0.5738033056259155,2
P,100,0.68115,0.24495,0.46305,0.6942974328994751,-0.5651242136955261,2
D,0,0.058949999999999995,0.06115,0.06005,0.02407539077103138,-9.258255004882812,2
D,1,0.0913,0.062150000000000004,0.076725,0.00835330132395029,-9.563308715820312,4
D,2,0.1351,0.08135,0.108225,0.017622733488678932,-1.2296751737594604,5
D,5,0.16435,0.08804999999999999,0.12619999999999998,0.019329862669110298,-1.2590844631195068,2
D,10,0.20495,0.08715,0.14605,0.06540306657552719,-1.3474189043045044,2
D,20,0.2577,0.09365,0.175675,0.15782912075519562,-1.639493465423584,1
D,40,0.4186,0.1217,0.27015,0.17282849550247192,-0.9427011609077454,3
D,60,0.48525,0.1427,0.313975,0.636462926864624,-0.7354013323783875,7
D,100,0.60665,0.2038,0.405225,0.8450865149497986,-0.7538005113601685,7
O,0,0.0605,0.06525,0.062875,0.014807850122451782,-9.254505157470703,4
O,1,0.09369999999999999,0.061149999999999996,0.077425,0.007499846629798412,-8.241037368774414,6
O,2,0.1387,0.0867,0.1127,0.020648786798119545,-0.892806887626648,5
O,5,0.1582,0.08745,0.122825,0.020771268755197525,-1.01422119140625,7
O,10,0.20455,0.0886,0.146575,0.024299921467900276,-1.3483593463897705,4
O,20,0.2679,0.09104999999999999,0.179475,0.09853703528642654,-1.5845248699188232,3
O,40,0.42615000000000003,0.12395,0.27505,0.6359919309616089,-1.2308056354522705,0
O,60,0.4968,0.1573,0.32705,0.6882839798927307,-1.140172004699707,0
O,100,0.6014,0.17270000000000002,0.38705,0.7746914029121399,-1.192974328994751,0
