condition,epoch,h0,h12,combined,G,C,winner_relation
B,0,0.0634,0.06755,0.065475,0.016950231045484543,-9.92823600769043,7
B,1,0.08979999999999999,0.06455,0.077175,0.003964769653975964,-11.018299102783203,2
B,2,0.1172,0.06389999999999998,0.09054999999999999,0.006964277476072311,-11.223435401916504,7
B,5,0.16315000000000002,0.062049999999999994,0.1126,0.022730953991413116,-8.990070343017578,2
B,10,0.19855,0.11925,0.15889999999999999,0.04329859837889671,-0.6168817281723022,0
B,20,0.27745,0.13119999999999998,0.20432499999999998,0.09484069049358368,-0.6429117918014526,0
B,40,0.43985,0.17049999999999998,0.305175,0.37050947546958923,-0.47538208961486816,0
B,60,0.50395,0.202,0.35297500000000004,0.5770100951194763,-0.5039545297622681,0
B,100,0.63225,0.23875000000000002,0.4355,0.692086398601532,-0.4903579354286194,0
P,0,0.06315,0.06470000000000001,0.06392500000000001,0.018283577635884285,-9.928136825561523,7
P,1,0.0952,0.06135,0.07827500000000001,0.006512305699288845,-11.662409782409668,0
P,2,0.1134,0.061649999999999996,0.08752499999999999,0.005373411346226931,-11.66935920715332,3
P,5,0.16599999999999998,0.06215,0.11407499999999998,0.02070274017751217,-9.843027114868164,2
P,10,0.20235,0.11599999999999999,0.159175,0.03323348984122276,-0.661861777305603,0
P,20,0.27615,0.11995,0.19805,0.18102999031543732,-0.9311327934265137,0
P,40,0.4415,0.1338,0.28765,0.4463389813899994,-0.7748678922653198,0
P,60,0.512,0.1677,0.33985,0.6639272570610046,-0.7204769849777222,0
P,100,0.6182000000000001,0.22395,0.42107500000000003,0.8547664880752563,-0.7372689247131348,0
D,0,0.06520000000000001,0.06640000000000001,0.06580000000000001,0.021611077710986137,-9.926860809326172,5
D,1,0.0963,0.06605,0.081175,0.002467608079314232,-11.002033233642578,5
D,2,0.1178,0.06145,0.089625,0.014188231900334358,-11.088451385498047,7
D,5,0.16555,0.11315,0.13935,0.011464579030871391,-0.48394763469696045,7
D,10,0.1991,0.1181,0.1586,0.03303973376750946,-0.6070443987846375,7
D,20,0.26839999999999997,0.11885,0.193625,0.0914188101887703,-0.8491026163101196,2
D,40,0.44625000000000004,0.13695000000000002,0.2916,0.2714035212993622,-0.6903988718986511,2
D,60,0.50695,0.16325,0.3351,0.467288076877594,-0.4097731411457062,2
D,100,0.6563,0.20529999999999998,0.43079999999999996,0.688965380191803,-0.4219708740711212,2
O,0,0.0634,0.06755,0.065475,0.016950231045484543,-9.92823600769043,7
O,1,0.09209999999999999,0.062049999999999994,0.07707499999999999,0.0030876407399773598,-11.603097915649414,4
O,2,0.1197,0.0625,0.0911,0.006670293398201466,-11.399681091308594,2
O,5,0.16615,0.1143,0.140225,0.02556782029569149,-0.45550867915153503,0
O,10,0.19615,0.1189,0.157525,0.06460930407047272,-0.6720805168151855,0
O,20,0.2768,0.1163,0.19655,0.2525314688682556,-0.9323431253433228,0
O,40,0.4461,0.17120000000000002,0.30865,0.5462169647216797,-0.7730751037597656,0
O,60,0.5176,0.1881,0.35285,0.6063623428344727,-0.7336890697479248,0
O,100,0.6218,0.19355,0.407675,0.6637126803398132,-0.6151424646377563,0
