seed,t,epsilon_fraction,epsilon_absolute,native_state_norm_mean,native_response_norm_pair_mean,temporal_response_norm_pair_mean,cross_time_radius_response_norm_pair_mean,same_time_radius_response_norm_pair_mean,direction_response_norm_pair_mean,pair_D_temporal,pair_R_temporal,pair_cos_temporal,pair_D_cross_time_radius,pair_R_cross_time_radius,pair_cos_cross_time_radius,pair_D_same_time_radius,pair_R_same_time_radius,pair_cos_same_time_radius,pair_D_direction,pair_R_direction,pair_cos_direction,meanop_D_temporal,meanop_R_temporal,meanop_cos_temporal,meanop_D_cross_time_radius,meanop_R_cross_time_radius,meanop_cos_cross_time_radius,meanop_D_same_time_radius,meanop_R_same_time_radius,meanop_cos_same_time_radius,meanop_D_direction,meanop_R_direction,meanop_cos_direction,meanop_native_norm,meanop_temporal_norm,meanop_cross_time_radius_norm,meanop_same_time_radius_norm,meanop_direction_norm,pair_R_cross_minus_same,pair_cos_same_minus_cross,convergence_rel_half_mean,convergence_rel_double_mean,numerically_stable_10pct,effective_rank_meanop,anisotropy_s1_over_mean_s,symmetric_fraction_meanop,antisymmetric_fraction_meanop,top4_left_subspace_alignment
7,0,0.001,0.00224513578414917,2.2293777465820312,3.4626874923706055,3.124478340148926,3.1518313884735107,3.4548144340515137,3.4626870155334473,2.90643310546875,0.8854846954345703,0.6136796474456787,2.865487813949585,0.8687509298324585,0.6262664794921875,2.741997480392456,0.7998150587081909,0.679325520992279,4.863969326019287,1.4061877727508545,0.010117352940142155,0.8082854747772217,0.31867679953575134,0.9815866947174072,0.8015460968017578,0.3001912236213684,0.9649345278739929,0.03391203656792641,0.011869855225086212,0.999932587146759,3.989499807357788,1.3946738243103027,0.02744234912097454,2.860525369644165,2.2122347354888916,2.4797115325927734,2.8534510135650635,2.860525369644165,0.06893585622310638,0.05305904150009155,0.00018589833052828908,8.637044811621308e-05,True,7.811476230621338,3.9345951080322266,0.855754017829895,0.5173828601837158,0.977216362953186
7,1,0.001,0.00224513578414917,2.3723833560943604,3.2011241912841797,3.160876512527466,3.3501510620117188,3.2070159912109375,3.2011241912841797,2.802811622619629,0.8821570873260498,0.5984468460083008,2.913440704345703,0.8948535919189453,0.596737802028656,2.7048251628875732,0.8443630933761597,0.6319406032562256,4.5592546463012695,1.4250469207763672,-0.016108214855194092,0.5322303175926208,0.2240476757287979,0.9799060225486755,0.5986629724502563,0.23385469615459442,0.9739294052124023,0.05608167126774788,0.022426363080739975,0.9997590184211731,3.5461266040802,1.42131769657135,-0.010072185657918453,2.4949569702148438,2.2560880184173584,2.625000238418579,2.506448745727539,2.4949567317962646,0.05049046874046326,0.03520280122756958,0.00022168367286212742,0.00010463964281370863,True,7.67264986038208,4.476138114929199,0.843829333782196,0.5366115570068359,0.9701646566390991
7,2,0.001,0.00224513578414917,2.6745457649230957,3.153815984725952,3.1562087535858154,3.1905934810638428,3.1595702171325684,3.153815984725952,2.850752830505371,0.9069003462791443,0.5756248235702515,3.007507801055908,0.9495880603790283,0.54383784532547,2.8742306232452393,0.9109439253807068,0.5704119801521301,4.474068641662598,1.418941855430603,-0.007612630259245634,0.39038148522377014,0.17136931419372559,0.9855316877365112,0.327831506729126,0.14224812388420105,0.9898859858512878,0.05209033563733101,0.022618146613240242,0.9997448325157166,3.231602668762207,1.403977870941162,0.014423193410038948,2.3017475605010986,2.2542777061462402,2.3075437545776367,2.3043179512023926,2.3017475605010986,0.03864414244890213,0.026574134826660156,0.00022994553728494793,0.00010722352453740314,True,7.602726936340332,4.302000522613525,0.8522992730140686,0.5230544805526733,0.9639104604721069
7,3,0.001,0.00224513578414917,2.8758256435394287,3.0318210124969482,3.1537086963653564,3.1284546852111816,3.0288190841674805,3.0318210124969482,2.7815170288085938,0.9013714790344238,0.5786098837852478,2.9555246829986572,0.9589760899543762,0.5320963859558105,2.65500545501709,0.8742640614509583,0.5933584570884705,4.323273658752441,1.42631196975708,-0.01823969930410385,0.3537955582141876,0.15890565514564514,0.9878547787666321,0.3961234390735626,0.18011339008808136,0.9838022589683533,0.04552088677883148,0.0208041500300169,0.9997895359992981,3.1182572841644287,1.4226685762405396,-0.011992914602160454,2.1918368339538574,2.261064052581787,2.206763744354248,2.184298515319824,2.1918368339538574,0.08471202850341797,0.06126207113265991,0.0002462443080730736,0.00011501269182190299,True,7.76429557800293,4.386049270629883,0.8443445563316345,0.5358004570007324,0.9793043732643127
7,4,0.001,0.00224513578414917,2.8664803504943848,3.1729846000671387,3.148711681365967,3.112133264541626,3.1567633152008057,3.1729846000671387,2.9478538036346436,0.9379891157150269,0.5497991442680359,3.0025346279144287,0.9563812613487244,0.532260537147522,2.8257689476013184,0.8947045803070068,0.5763641595840454,4.4890666007995605,1.4157557487487793,-0.0033035073429346085,0.3342467248439789,0.1472715586423874,0.9892209768295288,0.3661487400531769,0.16295327246189117,0.9872233867645264,0.056198570877313614,0.0246858149766922,0.99970942735672,3.2022347450256348,1.4028818607330322,0.015961170196533203,2.282611846923828,2.2565770149230957,2.211298704147339,2.2704946994781494,2.282611846923828,0.06167662516236305,0.04410362243652344,0.0002463524288032204,0.00011391672887839377,True,7.743784427642822,4.290322780609131,0.8512206673622131,0.5248079299926758,0.9846186637878418
7,5,0.001,0.00224513578414917,2.904615879058838,3.009654998779297,3.1627023220062256,3.1256051063537598,3.020643711090088,3.009654998779297,2.8997111320495605,0.9427253007888794,0.5466768741607666,2.8879475593566895,0.9403654336929321,0.544491708278656,2.657379627227783,0.8776625394821167,0.591195821762085,4.292899131774902,1.4277859926223755,-0.02089630253612995,0.37552815675735474,0.17110975086688995,0.9873815178871155,0.35927295684814453,0.1661035269498825,0.9868265986442566,0.034858379513025284,0.016384731978178024,0.9998692870140076,3.025256633758545,1.423865795135498,-0.013696928508579731,2.124678134918213,2.2646467685699463,2.201213836669922,2.1303045749664307,2.124678134918213,0.06270287185907364,0.046704113483428955,0.00025043636560440063,0.0001171322146547027,True,7.838613986968994,4.303455829620361,0.8522509336471558,0.5231330990791321,0.9858919978141785
7,6,0.001,0.00224513578414917,2.921990394592285,3.209395408630371,3.172473907470703,3.0814499855041504,3.202975034713745,3.209395408630371,3.043588876724243,0.957087516784668,0.5377143025398254,3.0341250896453857,0.9661301374435425,0.5218140482902527,2.950173854827881,0.9234705567359924,0.5559497475624084,4.560571193695068,1.424147367477417,-0.015217022970318794,0.3143092691898346,0.1363493651151657,0.9909641146659851,0.45724964141845703,0.20387010276317596,0.9823157787322998,0.0351644903421402,0.015104045160114765,0.999890148639679,3.2936413288116455,1.41266930103302,0.00218268227763474,2.3315017223358154,2.2788498401641846,2.1541941165924072,2.3247992992401123,2.3315019607543945,0.04265952855348587,0.03413569927215576,0.000251776073127985,0.00011742474453058094,True,7.811772346496582,4.214129447937012,0.8457898497581482,0.5335162878036499,0.9872036576271057
7,7,0.001,0.00224513578414917,2.8896420001983643,3.0855298042297363,3.126575469970703,3.143472909927368,3.086778163909912,3.0855298042297363,2.9863147735595703,0.9647701978683472,0.5290277004241943,2.938948154449463,0.9430909156799316,0.5426217317581177,2.8308627605438232,0.9159358739852905,0.5575383901596069,4.393980026245117,1.4271321296691895,-0.020046409219503403,0.39059144258499146,0.17722272872924805,0.9848431348800659,0.3729754388332367,0.1698455959558487,0.9859132170677185,0.049852825701236725,0.022988082841038704,0.999736487865448,3.0769240856170654,1.4196604490280151,-0.007717799860984087,2.1673662662506104,2.2405498027801514,2.2245688438415527,2.1699090003967285,2.1673662662506104,0.027155067771673203,0.014916658401489258,0.0002476335212122649,0.00011563364387257025,True,7.797033786773682,4.133848667144775,0.8599169254302979,0.510434091091156,0.9871715903282166
7,8,0.001,0.00224513578414917,2.9499118328094482,3.2171053886413574,3.1289894580841064,3.0847537517547607,3.202369451522827,3.2171053886413574,3.021918773651123,0.9535490870475769,0.5412125587463379,3.0703911781311035,0.976200520992279,0.518376886844635,3.01273250579834,0.9428512454032898,0.5445236563682556,4.58860969543457,1.4302525520324707,-0.023985605686903,0.35909733176231384,0.15728546679019928,0.9884850382804871,0.38378870487213135,0.1705576777458191,0.9879816770553589,0.046343691647052765,0.019963644444942474,0.9998307228088379,3.3170766830444336,1.4233818054199219,-0.013007649220526218,2.3304197788238525,2.2357664108276367,2.1699776649475098,2.3123891353607178,2.3304195404052734,0.03334932029247284,0.026146769523620605,0.000256963015999645,0.00011987226753262803,True,7.8847270011901855,4.152362823486328,0.8440180420875549,0.536314845085144,0.9812111258506775
7,9,0.001,0.00224513578414917,2.882039785385132,3.1370344161987305,3.1432318687438965,3.141211986541748,3.113471508026123,3.1370344161987305,3.0019400119781494,0.9610156416893005,0.5323954820632935,3.0459086894989014,0.9725186824798584,0.5147188901901245,2.8810200691223145,0.9248028993606567,0.5506715774536133,4.441002368927002,1.4184980392456055,-0.007557735778391361,0.3810347616672516,0.17173615097999573,0.9858589172363281,0.2928098440170288,0.1328526884317398,0.9914121627807617,0.06534092128276825,0.03011973947286606,0.9995942115783691,3.0601859092712402,1.4037693738937378,0.014715708792209625,2.1799776554107666,2.2574658393859863,2.228060722351074,2.158766508102417,2.1799776554107666,0.04771580919623375,0.03595268726348877,0.000248757132794708,0.00011598889250308275,True,7.839047431945801,3.8669257164001465,0.8651752471923828,0.5014694333076477,0.9820409417152405
