condition,epoch,h0,h12,combined,G,winner,synergy_winner,gradient_winner
B,0,0.0585,0.0616,0.060050000000000006,0.012111706659197807,5,0,1
B,1,0.0978,0.06255,0.080175,0.01038383785635233,5,5,7
B,2,0.1227,0.09330000000000001,0.10800000000000001,0.012200714088976383,3,0,1
B,5,0.15665,0.1154,0.136025,0.0060212938115000725,3,0,0
B,10,0.1937,0.11750000000000001,0.15560000000000002,0.026948489248752594,5,1,1
B,15,0.22005,0.1171,0.168575,0.07681892067193985,1,1,7
B,20,0.258,0.12179999999999999,0.1899,0.1358860433101654,2,2,2
B,25,0.31415000000000004,0.12104999999999999,0.21760000000000002,0.2516920864582062,2,2,7
B,30,0.36660000000000004,0.13585000000000003,0.25122500000000003,0.422103613615036,2,2,2
B,35,0.41025,0.14525,0.27775,0.5247765183448792,2,2,2
B,40,0.43715,0.15889999999999999,0.298025,0.5706696510314941,2,2,2
B,45,0.46315,0.1688,0.315975,0.5913410782814026,2,2,2
B,50,0.4823,0.17164999999999997,0.326975,0.6221809387207031,2,2,2
B,60,0.5234,0.18424999999999997,0.35382499999999995,0.646168053150177,2,2,2
B,80,0.6069,0.19475,0.400825,0.6830177903175354,2,2,2
B,100,0.6736,0.1966,0.4351,0.7061557769775391,2,2,2
O,0,0.0585,0.0616,0.060050000000000006,0.012111706659197807,5,0,1
O,1,0.0975,0.0629,0.0802,0.012048115022480488,5,5,4
O,2,0.1237,0.0995,0.1116,0.012165574356913567,0,6,1
O,5,0.156,0.11765,0.136825,0.008334461599588394,3,1,1
O,10,0.19729999999999998,0.11815,0.157725,0.03656267002224922,5,1,7
O,15,0.2232,0.11845,0.170825,0.09611526131629944,2,2,7
O,20,0.2737,0.12240000000000001,0.19805,0.20152156054973602,2,2,1
O,25,0.32785000000000003,0.1266,0.227225,0.3207770586013794,2,2,1
O,30,0.37965000000000004,0.1508,0.26522500000000004,0.4450450837612152,2,2,2
O,35,0.41655,0.1701,0.293325,0.5270628929138184,2,2,2
O,40,0.44075,0.1849,0.312825,0.5709395408630371,2,2,2
O,45,0.45885,0.18755,0.3232,0.5740013718605042,2,2,2
O,50,0.48424999999999996,0.19319999999999998,0.33872499999999994,0.602944552898407,2,2,2
O,60,0.52505,0.19959999999999997,0.362325,0.6212061047554016,2,2,2
O,80,0.5853999999999999,0.1994,0.39239999999999997,0.6567846536636353,2,2,2
O,100,0.62915,0.1995,0.414325,0.6814253926277161,2,2,2
