condition,epoch,h0,h12,combined,G,winner,synergy_winner,gradient_winner
B,0,0.0596,0.0617,0.060649999999999996,0.008319929242134094,5,0,5
B,1,0.09755,0.06505,0.0813,0.01023963000625372,5,4,6
B,2,0.13624999999999998,0.062299999999999994,0.09927499999999999,0.011997470632195473,7,3,7
B,5,0.17335,0.1244,0.148875,0.015654005110263824,0,0,2
B,10,0.19615,0.12285,0.1595,0.024114878848195076,6,0,0
B,15,0.2174,0.12585,0.171625,0.06315545737743378,4,4,0
B,20,0.27535,0.1258,0.200575,0.10004206746816635,4,4,1
B,25,0.33309999999999995,0.1208,0.22694999999999999,0.2368086874485016,4,4,1
B,30,0.37795,0.13055,0.25425,0.4640371799468994,4,4,7
B,35,0.4213,0.1386,0.27995000000000003,0.5363194942474365,4,4,4
B,40,0.45675,0.1404,0.298575,0.5671367645263672,4,4,4
B,45,0.48519999999999996,0.14255,0.313875,0.6068845391273499,4,4,4
B,50,0.5030999999999999,0.1511,0.32709999999999995,0.638407826423645,4,4,4
B,60,0.5359,0.17355000000000004,0.35472500000000007,0.7162320613861084,4,4,4
B,80,0.592,0.20325,0.397625,0.8107950091362,4,4,4
B,100,0.6507499999999999,0.2117,0.43122499999999997,0.8731486797332764,4,4,4
O,0,0.0596,0.0617,0.060649999999999996,0.008319929242134094,5,0,5
O,1,0.09305,0.06155,0.0773,0.012500694021582603,5,3,4
O,2,0.13695,0.07745,0.10719999999999999,0.012611727230250835,3,0,0
O,5,0.17435,0.12,0.147175,0.014173614792525768,2,0,1
O,10,0.1961,0.11449999999999999,0.1553,0.025535516440868378,4,0,2
O,15,0.2167,0.11445,0.165575,0.051938995718955994,4,4,4
O,20,0.26925,0.1145,0.191875,0.0996481329202652,4,0,6
O,25,0.3295,0.11069999999999999,0.22010000000000002,0.14626221358776093,4,4,4
O,30,0.3738,0.11334999999999999,0.243575,0.24032822251319885,4,4,4
O,35,0.42565,0.13219999999999998,0.278925,0.4286048710346222,4,4,1
O,40,0.45320000000000005,0.14225,0.297725,0.4973480701446533,4,4,4
O,45,0.47035,0.15075,0.31055,0.5130043029785156,4,4,4
O,50,0.4863,0.15795,0.322125,0.5503169894218445,4,4,4
O,60,0.51725,0.17584999999999998,0.34654999999999997,0.5669538974761963,4,4,4
O,80,0.5825,0.20550000000000002,0.394,0.6675173044204712,4,4,4
O,100,0.64125,0.22049999999999997,0.430875,0.7349458336830139,4,4,4
