epoch,val_h0,val_h12,C_terminal_mean_log_survival,G_terminal_relation_selectivity,reversal_fraction_overall,path_efficiency_mean,ridge_h0,ridge_h12,ridge_first_direction,ridge_final_direction,ridge_integrated_direction
0,0.0592,0.06075,-7.398865699768066,0.0164203904569149,0.925,0.4388071298599243,0.175425,0.0617,0.174075,0.138475,0.167125
1,0.0948,0.06125,-5.728167533874512,0.014105220325291157,0.8994181818181818,0.42003875970840454,0.170125,0.09945,0.152275,0.115375,0.143425
2,0.1382,0.0863,-0.6358926296234131,0.04119005426764488,0.9886545454545455,0.1423407644033432,0.15965,0.125675,0.155525,0.110575,0.1496
5,0.16455,0.08979999999999999,-0.8291680216789246,0.027036437764763832,0.9966363636363637,0.15545926988124847,0.172475,0.120425,0.16555,0.09855,0.162275
10,0.1915,0.08854999999999999,-0.9284555912017822,0.07589637488126755,0.9976363636363637,0.14983761310577393,0.20755,0.1227,0.20325,0.099875,0.202
20,0.27609999999999996,0.11904999999999999,-0.7062550187110901,0.2587597072124481,0.9991272727272728,0.10835902392864227,0.30345,0.1202,0.294025,0.118675,0.29005
40,0.44915,0.15795,-0.6844913959503174,0.5387642979621887,0.9959454545454546,0.09318121522665024,0.424625,0.158375,0.395125,0.155575,0.390075
60,0.5028,0.17375000000000002,-0.6471586227416992,0.6009712815284729,0.9956181818181818,0.086326003074646,0.4534,0.17715,0.418225,0.175825,0.39575
80,0.56385,0.1841,-0.6197605133056641,0.616936981678009,0.9964909090909091,0.08322808146476746,0.475225,0.18355,0.429775,0.1815,0.399475
100,0.6392,0.18544999999999998,-0.5638275742530823,0.6178671717643738,0.9964545454545455,0.08227768540382385,0.491325,0.185425,0.43975,0.183125,0.397125
