condition,epoch,h0,h12,combined,G,C,winner_relation
B,0,0.06075,0.06505,0.0629,0.00820943620055914,-7.461810111999512,1
B,1,0.09745000000000001,0.062299999999999994,0.079875,0.010510950349271297,-7.250658988952637,2
B,2,0.1331,0.0941,0.1136,0.021985460072755814,-0.6803727746009827,5
B,5,0.16585,0.11405,0.13995,0.0116644985973835,-0.37946054339408875,5
B,10,0.18924999999999997,0.11580000000000001,0.152525,0.018723852932453156,-0.5632850527763367,5
B,20,0.24965000000000004,0.11195000000000001,0.18080000000000002,0.07020967453718185,-0.8128678202629089,0
B,40,0.4324,0.1632,0.2978,0.3917110562324524,-0.4564386308193207,4
B,60,0.5102,0.19105,0.35062499999999996,0.5535140633583069,-0.42225661873817444,4
B,100,0.65905,0.23324999999999999,0.44615,0.7773434519767761,-0.4821597933769226,4
P,0,0.06185,0.06475,0.0633,0.008669055067002773,-7.461884498596191,0
P,1,0.1008,0.06305,0.081925,0.005288639105856419,-7.502546310424805,5
P,2,0.13174999999999998,0.0854,0.10857499999999999,0.015389272943139076,-0.8511316776275635,5
P,5,0.16294999999999998,0.13290000000000002,0.147925,0.005436087027192116,-0.04140126332640648,2
P,10,0.18975,0.13474999999999998,0.16225,0.012393067590892315,-0.2568047046661377,5
P,20,0.25129999999999997,0.1371,0.19419999999999998,0.12227166444063187,-0.4348616600036621,4
P,40,0.42274999999999996,0.1782,0.300475,0.34963586926460266,-0.4165768027305603,4
P,60,0.5098,0.2062,0.358,0.4761880040168762,-0.44399335980415344,4
P,100,0.6517499999999999,0.21465,0.4332,0.6388826370239258,-0.4719781279563904,4
D,0,0.06335,0.06570000000000001,0.064525,0.017301522195339203,-7.4646148681640625,3
D,1,0.1038,0.0651,0.08445,0.011117116548120975,-6.203100204467773,2
D,2,0.13105,0.10135,0.1162,0.014585696160793304,-0.36761757731437683,1
D,5,0.16435,0.11510000000000001,0.139725,0.010607875883579254,-0.4159995913505554,3
D,10,0.18975,0.11635000000000001,0.15305000000000002,0.021112319082021713,-0.6307456493377686,1
D,20,0.24714999999999998,0.11295,0.18005,0.12964075803756714,-0.8512056469917297,2
D,40,0.43065000000000003,0.12025,0.27545000000000003,0.36045417189598083,-0.9323220252990723,1
D,60,0.5035000000000001,0.1543,0.3289,0.6031347513198853,-0.6952139139175415,1
D,100,0.6375500000000001,0.1849,0.41122500000000006,0.8049027919769287,-0.6621723175048828,1
O,0,0.06075,0.06505,0.0629,0.00820943620055914,-7.461810111999512,1
O,1,0.0976,0.061200000000000004,0.0794,0.005611470900475979,-7.672946453094482,2
O,2,0.1321,0.0833,0.10769999999999999,0.023335037752985954,-1.0827407836914062,7
O,5,0.1668,0.11465,0.140725,0.013334986753761768,-0.3930235207080841,4
O,10,0.1889,0.11374999999999999,0.151325,0.011453203856945038,-0.5411150455474854,6
O,20,0.2466,0.1121,0.17935,0.08406903594732285,-0.8014781475067139,3
O,40,0.43915,0.13235,0.28575,0.4537721276283264,-0.8130283355712891,4
O,60,0.5062500000000001,0.159,0.33262500000000006,0.665924072265625,-0.7877565622329712,4
O,100,0.634,0.21234999999999998,0.42317499999999997,0.8371663689613342,-0.6832884550094604,4
