condition,epoch,h0,h12,combined,G,winner,synergy_winner,gradient_winner
B,0,0.06175,0.0577,0.059725,0.010939447209239006,2,0,1
B,1,0.09185,0.06305,0.07744999999999999,0.0022997341584414244,0,7,3
B,2,0.12730000000000002,0.06025,0.09377500000000001,0.009268879890441895,2,4,3
B,5,0.17435,0.0949,0.134625,0.018481940031051636,4,7,7
B,10,0.20579999999999998,0.09565,0.150725,0.01997215859591961,4,7,3
B,15,0.22105,0.09570000000000001,0.158375,0.04343477636575699,1,1,1
B,20,0.27444999999999997,0.09885,0.18664999999999998,0.11814600229263306,6,1,6
B,25,0.3313,0.09755,0.21442499999999998,0.1787964254617691,6,6,7
B,30,0.38885,0.09985,0.24434999999999998,0.28314968943595886,0,0,0
B,35,0.42274999999999996,0.11875,0.27075,0.26869985461235046,0,0,1
B,40,0.44610000000000005,0.12739999999999999,0.28675,0.48960819840431213,0,0,7
B,45,0.46454999999999996,0.14179999999999998,0.303175,0.5882883071899414,0,0,7
B,50,0.483,0.1552,0.3191,0.6405675411224365,0,0,7
B,60,0.5173000000000001,0.17560000000000003,0.34645000000000004,0.6767145395278931,0,0,7
B,80,0.5850500000000001,0.2023,0.39367500000000005,0.7226262092590332,0,0,0
B,100,0.6483,0.21405000000000002,0.431175,0.7635287046432495,0,0,0
O,0,0.06175,0.0577,0.059725,0.010939447209239006,2,0,1
O,1,0.09105,0.06275,0.0769,0.004905140958726406,0,1,4
O,2,0.12865,0.07905000000000001,0.10385,0.014404847286641598,7,5,2
O,5,0.17645,0.0873,0.131875,0.040324196219444275,1,1,3
O,10,0.20575,0.08985,0.1478,0.054772935807704926,1,1,6
O,15,0.2218,0.0891,0.15545,0.06745922565460205,1,1,6
O,20,0.2733,0.08839999999999999,0.18084999999999998,0.1673627644777298,1,1,6
O,25,0.3383,0.09445,0.21637499999999998,0.2347647100687027,6,6,1
O,30,0.38144999999999996,0.1138,0.24762499999999998,0.22487494349479675,6,6,0
O,35,0.41700000000000004,0.1139,0.26545,0.24868232011795044,6,6,1
O,40,0.43975,0.11665,0.2782,0.373787522315979,6,6,6
O,45,0.46065,0.12855,0.2946,0.5142377018928528,6,6,6
O,50,0.48375,0.14165,0.3127,0.6349730491638184,6,6,7
O,60,0.5206,0.1567,0.33865,0.7398106455802917,6,6,7
O,80,0.5854,0.18565,0.385525,0.8118070363998413,6,6,7
O,100,0.6429,0.19779999999999998,0.42035,0.838602602481842,6,6,7
