condition,epoch,h0,h12,combined,G,winner,synergy_winner,gradient_winner
B,0,0.06405,0.0633,0.063675,0.032584112137556076,2,0,6
B,1,0.09675,0.06155,0.07915,0.005013733636587858,0,3,2
B,2,0.14115,0.095,0.118075,0.016621004790067673,2,2,6
B,5,0.16620000000000001,0.11515,0.140675,0.006647828966379166,3,4,5
B,10,0.2122,0.11495,0.163575,0.013259248808026314,0,1,1
B,15,0.2271,0.11805,0.172575,0.019520916044712067,1,1,1
B,20,0.2675,0.1179,0.1927,0.048378836363554,1,1,4
B,25,0.3186,0.13455,0.226575,0.058829620480537415,3,3,0
B,30,0.3758,0.1358,0.2558,0.13788768649101257,3,3,5
B,35,0.42605,0.14065,0.28335,0.2815093696117401,3,3,1
B,40,0.4563,0.1598,0.30805,0.4140974283218384,3,3,3
B,45,0.4775,0.16735,0.32242499999999996,0.5205361247062683,3,3,6
B,50,0.4979,0.17815,0.338025,0.5651043057441711,3,3,3
B,60,0.5294000000000001,0.1938,0.36160000000000003,0.6383596062660217,3,3,3
B,80,0.58665,0.22250000000000003,0.404575,0.7078823447227478,3,3,3
B,100,0.63605,0.2351,0.435575,0.7572229504585266,3,3,1
O,0,0.06405,0.0633,0.063675,0.032584112137556076,2,0,6
O,1,0.09985,0.0622,0.081025,0.01008643489331007,0,0,4
O,2,0.13765,0.1009,0.11927499999999999,0.01602366380393505,5,2,5
O,5,0.16804999999999998,0.1163,0.142175,0.008360683917999268,0,4,7
O,10,0.20995000000000003,0.11579999999999999,0.162875,0.011740244925022125,0,0,1
O,15,0.2363,0.1198,0.17805,0.017556481063365936,1,1,4
O,20,0.26935,0.11905,0.19419999999999998,0.048468489199876785,1,1,5
O,25,0.3154,0.12025000000000001,0.21782500000000002,0.14349700510501862,3,1,0
O,30,0.3822,0.13235,0.257275,0.2294994294643402,3,3,1
O,35,0.43984999999999996,0.13885,0.28935,0.38015756011009216,3,3,3
O,40,0.46665,0.142,0.304325,0.44354674220085144,3,1,1
O,45,0.4853,0.1472,0.31625000000000003,0.48418375849723816,3,3,3
O,50,0.5025,0.15225,0.32737499999999997,0.5221790671348572,3,3,1
O,60,0.5307000000000001,0.1539,0.34230000000000005,0.5878421664237976,3,1,3
O,80,0.5782,0.16535,0.371775,0.7221687436103821,3,1,1
O,100,0.63125,0.18295,0.4071,0.7967950701713562,3,1,0
