condition,epoch,h0,h12,combined,G,winner,synergy_winner,gradient_winner
B,0,0.057249999999999995,0.0623,0.059774999999999995,0.007309929467737675,5,0,2
B,1,0.09085,0.0648,0.077825,0.011732282117009163,1,1,7
B,2,0.14915,0.06525,0.1072,0.013549547642469406,4,4,2
B,5,0.18685,0.11505,0.15095,0.01421884261071682,0,0,7
B,10,0.2124,0.11455,0.163475,0.015538245439529419,5,0,1
B,15,0.22605,0.1192,0.172625,0.0488506518304348,1,3,0
B,20,0.2523,0.12635,0.18932500000000002,0.1224960908293724,1,3,0
B,25,0.2996,0.14439999999999997,0.22199999999999998,0.16452805697917938,3,5,5
B,30,0.345,0.14305,0.244025,0.19720420241355896,3,5,1
B,35,0.38870000000000005,0.14395,0.26632500000000003,0.2182992696762085,6,3,5
B,40,0.41509999999999997,0.1444,0.27975,0.23396719992160797,6,2,3
B,45,0.4404,0.15635,0.298375,0.23335374891757965,6,2,3
B,50,0.45835,0.15775,0.30805,0.30141764879226685,6,2,5
B,60,0.5005499999999999,0.1618,0.331175,0.4451446235179901,6,6,6
B,80,0.57115,0.17335,0.37225,0.6615779399871826,6,2,5
B,100,0.62855,0.1875,0.408025,0.7331633567810059,6,2,6
O,0,0.057249999999999995,0.0623,0.059774999999999995,0.007309929467737675,5,0,2
O,1,0.09334999999999999,0.062349999999999996,0.07784999999999999,0.003827050095424056,0,3,2
O,2,0.1491,0.06365,0.106375,0.01226650271564722,4,4,4
O,5,0.1891,0.11805,0.153575,0.01160057820379734,5,5,7
O,10,0.21295,0.11860000000000001,0.165775,0.01835853047668934,5,5,2
O,15,0.22979999999999998,0.12225,0.176025,0.07113312184810638,1,1,2
O,20,0.26225,0.14245,0.20234999999999997,0.17424152791500092,6,6,2
O,25,0.30519999999999997,0.14625,0.22572499999999998,0.21237245202064514,3,3,6
O,30,0.34545000000000003,0.14500000000000002,0.24522500000000003,0.2230958193540573,6,3,1
O,35,0.38695,0.14644999999999997,0.2667,0.24367491900920868,6,3,6
O,40,0.41785000000000005,0.14689999999999998,0.28237500000000004,0.2590397000312805,6,6,1
O,45,0.44129999999999997,0.14845,0.294875,0.2887742817401886,6,6,1
O,50,0.46175,0.15485,0.3083,0.3070872128009796,6,6,2
O,60,0.4977,0.17005000000000003,0.33387500000000003,0.44206181168556213,6,6,1
O,80,0.55505,0.1879,0.371475,0.6718705892562866,6,6,4
O,100,0.6051,0.22054999999999997,0.412825,0.7855359315872192,6,6,4
