condition,epoch,h0,h12,combined,G,winner,synergy_winner,gradient_winner
B,0,0.06509999999999999,0.0621,0.06359999999999999,0.00876259058713913,2,0,2
B,1,0.09375,0.06135,0.07755000000000001,0.005456826183944941,7,7,2
B,2,0.13175,0.063,0.097375,0.009781556203961372,5,2,3
B,5,0.172,0.11105000000000001,0.141525,0.011632917448878288,0,0,3
B,10,0.20379999999999998,0.11105,0.15742499999999998,0.026101520285010338,0,0,5
B,15,0.21935,0.11345,0.1664,0.048410892486572266,6,6,3
B,20,0.2589,0.1136,0.18625000000000003,0.13209284842014313,6,6,3
B,25,0.31389999999999996,0.11295,0.21342499999999998,0.1799621433019638,5,6,4
B,30,0.359,0.11415,0.23657499999999998,0.1932593137025833,1,6,6
B,35,0.39785000000000004,0.11695,0.2574,0.2173796445131302,6,6,4
B,40,0.43084999999999996,0.1172,0.27402499999999996,0.2945248484611511,7,6,3
B,45,0.4504,0.12985,0.290125,0.4430381655693054,6,6,7
B,50,0.4688,0.13765,0.30322499999999997,0.5397186875343323,6,6,6
B,60,0.50065,0.14429999999999998,0.322475,0.6431013345718384,6,6,7
B,80,0.5689,0.16285,0.36587499999999995,0.7150117754936218,7,7,7
B,100,0.6358,0.18425000000000002,0.41002500000000003,0.7688886523246765,7,7,6
O,0,0.06509999999999999,0.0621,0.06359999999999999,0.00876259058713913,2,0,2
O,1,0.09939999999999999,0.0622,0.0808,0.00929948315024376,7,1,7
O,2,0.13219999999999998,0.0622,0.0972,0.010180271230638027,5,2,4
O,5,0.17209999999999998,0.11365,0.14287499999999997,0.009329713881015778,0,0,0
O,10,0.20215,0.1126,0.157375,0.018415989354252815,6,0,6
O,15,0.2259,0.1144,0.17015,0.0663466826081276,6,6,7
O,20,0.25565,0.1157,0.18567499999999998,0.15781818330287933,6,6,2
O,25,0.30375,0.12095,0.21235,0.17774845659732819,1,6,7
O,30,0.35485,0.1238,0.239325,0.14087525010108948,1,1,3
O,35,0.40645,0.13395,0.2702,0.14412860572338104,7,7,7
O,40,0.43710000000000004,0.13274999999999998,0.284925,0.20836172997951508,7,7,7
O,45,0.45375,0.13845,0.2961,0.285239577293396,7,7,0
O,50,0.46835000000000004,0.15945,0.3139,0.44490885734558105,7,7,1
O,60,0.5101,0.1768,0.34345000000000003,0.603050947189331,7,7,7
O,80,0.5850500000000001,0.21259999999999998,0.39882500000000004,0.797987163066864,7,7,7
O,100,0.6502000000000001,0.23455,0.4423750000000001,0.8609308004379272,7,7,7
