condition,epoch,h0,h12,combined,G,winner,synergy_winner,gradient_winner
B,0,0.06025,0.0604,0.060325000000000004,0.022811798378825188,2,0,4
B,1,0.10039999999999999,0.061900000000000004,0.08115,0.00861907284706831,5,3,5
B,2,0.1373,0.06255,0.099925,0.00954844243824482,5,2,0
B,5,0.1781,0.1131,0.1456,0.012782345525920391,0,6,3
B,10,0.2134,0.11230000000000001,0.16285,0.01948242075741291,7,7,4
B,15,0.21825,0.11445,0.16635,0.036959242075681686,3,7,0
B,20,0.23635,0.11535,0.17585,0.06280835717916489,7,7,3
B,25,0.29555,0.11825000000000001,0.2069,0.14307959377765656,4,7,1
B,30,0.34785,0.1176,0.232725,0.17398293316364288,4,7,3
B,35,0.3941,0.1202,0.25715,0.17368794977664948,4,7,5
B,40,0.4128,0.12315,0.267975,0.17818772792816162,4,7,5
B,45,0.42835,0.13715,0.28275,0.15685215592384338,4,5,5
B,50,0.44365,0.14045000000000002,0.29205000000000003,0.20086778700351715,3,5,2
B,60,0.4737,0.16025,0.316975,0.4712814688682556,3,3,5
B,80,0.5335,0.20975,0.371625,0.6263810992240906,5,5,3
B,100,0.6104499999999999,0.241,0.42572499999999996,0.70098477602005,5,5,5
O,0,0.06025,0.0604,0.060325000000000004,0.022811798378825188,2,0,4
O,1,0.098,0.06225,0.080125,0.010827749036252499,7,7,5
O,2,0.14605,0.0616,0.103825,0.011481460183858871,7,2,3
O,5,0.17695,0.11985,0.1484,0.003907246049493551,6,2,5
O,10,0.2137,0.1182,0.16595,0.01725618913769722,7,7,3
O,15,0.2203,0.1217,0.17099999999999999,0.03865596652030945,7,7,1
O,20,0.24725000000000003,0.12134999999999999,0.18430000000000002,0.10636264830827713,7,7,1
O,25,0.2918,0.1201,0.20595,0.14034035801887512,4,7,5
O,30,0.33735000000000004,0.12365,0.2305,0.18484874069690704,7,7,7
O,35,0.39385000000000003,0.13375,0.26380000000000003,0.1982020139694214,4,7,6
O,40,0.41795,0.1346,0.276275,0.2872469425201416,3,7,3
O,45,0.43775,0.1391,0.288425,0.3988489806652069,3,3,3
O,50,0.45594999999999997,0.1533,0.304625,0.5361822247505188,3,3,3
O,60,0.4899,0.19675,0.343325,0.530982494354248,3,3,3
O,80,0.54635,0.2189,0.382625,0.6045462489128113,3,3,3
O,100,0.60185,0.23149999999999998,0.416675,0.6766430735588074,3,7,7
