condition,epoch,h0,h12,combined,G,C,winner_relation
J,0,0.06315000000000001,0.06614999999999999,0.06465,0.008699561469256878,-8.737100601196289,5
J,2,0.13255,0.09535000000000002,0.11395000000000001,0.024929115548729897,-0.7307595014572144,1
J,10,0.20334999999999998,0.11135,0.15735,0.02037854678928852,-0.7515231370925903,3
J,20,0.27554999999999996,0.11599999999999999,0.19577499999999998,0.06849431246519089,-0.8053857088088989,7
J,40,0.42869999999999997,0.1673,0.298,0.479553759098053,-0.7233859300613403,3
J,60,0.48450000000000004,0.18785,0.336175,0.6063423752784729,-0.7652043104171753,3
J,100,0.6195999999999999,0.1997,0.40964999999999996,0.8175468444824219,-0.8439619541168213,3
H0,0,0.06315000000000001,0.06614999999999999,0.06465,0.008699561469256878,-8.737100601196289,5
H0,2,0.1331,0.0614,0.09725,0.013519792817533016,-8.664931297302246,1
H0,10,0.2066,0.06145,0.134025,0.012394404038786888,-8.993352890014648,5
H0,20,0.2883,0.05935,0.173825,0.0760343000292778,-8.991377830505371,4
H0,40,0.4271,0.060200000000000004,0.24364999999999998,0.13225914537906647,-9.015458106994629,4
H0,60,0.48429999999999995,0.058,0.27115,0.1572936773300171,-9.004400253295898,4
H0,100,0.6263,0.0581,0.3422,0.19052907824516296,-8.997538566589355,4
HT,0,0.06315000000000001,0.06614999999999999,0.06465,0.008699561469256878,-8.737100601196289,5
HT,2,0.06405000000000001,0.10655,0.08530000000000001,0.008890196681022644,1.3172450065612793,4
HT,10,0.06219999999999999,0.11305,0.087625,0.024967655539512634,1.6897659301757812,7
HT,20,0.064,0.10925,0.08662500000000001,0.10979482531547546,1.714216947555542,7
HT,40,0.062,0.19629999999999997,0.12915,0.7295515537261963,0.8806407451629639,7
HT,60,0.0634,0.24235,0.152875,1.0854029655456543,0.34393855929374695,7
HT,100,0.0649,0.27245,0.16867500000000002,1.1711243391036987,0.2782942056655884,7
FF,0,0.06315000000000001,0.06614999999999999,0.06465,0.008699561469256878,-8.737100601196289,5
FF,2,0.1331,0.06195,0.097525,0.013601364567875862,-8.664578437805176,1
FF,10,0.20645,0.06495,0.1357,0.011649885214865208,-8.98964786529541,5
FF,20,0.28790000000000004,0.0635,0.17570000000000002,0.07658559083938599,-8.987146377563477,4
FF,40,0.4263,0.06765,0.246975,0.13212278485298157,-9.013422012329102,4
FF,60,0.48385,0.0687,0.276275,0.15865644812583923,-9.001643180847168,4
FF,100,0.6248,0.0709,0.34785,0.191433385014534,-8.994007110595703,4
EF,0,0.06315000000000001,0.06614999999999999,0.06465,0.008699561469256878,-8.737100601196289,5
EF,2,0.07255,0.06425,0.0684,0.004379207268357277,-6.859702110290527,1
EF,10,0.09734999999999999,0.10725000000000001,0.1023,0.014436151832342148,3.7356300354003906,7
EF,20,0.11505,0.11135,0.1132,0.01197369210422039,4.031489372253418,0
EF,40,0.1348,0.11130000000000001,0.12305,0.016643468290567398,3.9852709770202637,7
EF,60,0.1407,0.11019999999999999,0.12545,0.02175047993659973,4.001275539398193,7
EF,100,0.14605,0.1116,0.12882500000000002,0.019950898364186287,3.9874539375305176,7
